Date,BID,BIDStrike,ASK,ASKStrike,StrikeSpread,Close,payoff,profit
2019-11-09,0.3883333333333335,3123.5,2.6383333333333328,3104.0,-19.5,3090.5,0.03333333333333333,-1.8283333333333331
2019-11-12,0.5076923076923068,3139.769230769231,2.549999999999998,3115.6923076923076,-24.076923076923077,3092.0,0.06153846153846154,-1.4730769230769238
2019-11-14,0.8094827586206885,3156.7241379310344,3.0318965517241323,3128.146551724138,-28.57758620689655,3097.0,0.23275862068965517,-1.1801724137931033
2019-11-16,0.7440082644628133,3186.880165289256,2.849586776859507,3144.8553719008264,-42.02479338842975,3118.25,1.0020661157024793,-0.3595041322314048
2019-11-19,0.9758474576271192,3188.072033898305,3.2099576271186474,3150.1271186440677,-37.94491525423729,3118.5,1.0233050847457628,-0.23495762711864396
2019-11-21,1.4790322580645099,3188.4792626728113,4.1951612903225985,3153.1105990783412,-35.36866359447004,3104.0,0.37327188940092165,-0.8638248847926272
2019-11-23,2.114179104477613,3187.5124378109454,5.347761194029854,3154.626865671642,-32.885572139303484,3111.5,0.8830845771144279,-0.23631840796019934
2019-11-26,2.4169312169312156,3187.910052910053,5.854761904761908,3156.190476190476,-31.719576719576718,3143.75,3.0291005291005293,2.0082010582010597
2019-11-28,3.1925414364640923,3187.0994475138123,7.332044198895042,3156.270718232044,-30.828729281767956,3153.75,4.281767955801105,3.3348066298342585
2019-11-30,3.5145251396647956,3187.2625698324023,7.863966480446942,3156.564245810056,-30.69832402234637,3143.75,3.973463687150838,3.1385474860335214
2019-12-03,3.8620588235294115,3187.970588235294,8.433823529411766,3157.8823529411766,-30.08823529411765,3091.0,0.011764705882352941,-0.6979411764705884
2019-12-05,4.770858895705521,3187.8220858895706,10.157055214723936,3157.7914110429447,-30.030674846625768,3116.75,1.687116564417178,1.071779141104295
