Date,BID,BIDStrike,ASK,ASKStrike,StrikeSpread,Close,payoff,profit
2019-11-09,0.14943820224719093,3015.0561797752807,0.9401685393258429,3055.112359550562,40.056179775280896,3090.5,0.0,-0.6412921348314607
2019-11-12,0.2664305949008496,2987.5070821529744,1.5266288951841356,3042.3229461756373,54.815864022662886,3092.0,0.0,-0.9937677053824359
2019-11-14,0.7269863013698632,2984.123287671233,2.4438356164383563,3031.013698630137,46.89041095890411,3097.0,0.0,-0.9898630136986295
2019-11-16,1.3841954022988519,2982.614942528736,3.582758620689655,3024.1666666666665,41.55172413793103,3118.25,0.0,-0.8143678160919536
2019-11-19,2.0638805970149225,2982.4776119402986,4.73910447761194,3022.6417910447763,40.16417910447761,3118.5,0.0,-0.6113432835820892
2019-11-21,3.2495192307692307,2981.1698717948716,6.705608974358976,3020.641025641026,39.47115384615385,3104.0,0.0,-0.20657051282051198
2019-11-23,4.446969696969698,2978.7205387205386,8.592087542087542,3019.814814814815,41.0942760942761,3111.5,0.0,0.30185185185185204
2019-11-26,5.12420494699647,2976.678445229682,9.806360424028268,3019.310954063604,42.63250883392226,3143.75,0.0,0.44204946996466427
2019-11-28,6.2597328244274815,2973.6068702290077,11.81583969465649,3019.408396946565,45.80152671755725,3153.75,0.0,0.7036259541984734
2019-11-30,6.8741935483870975,2971.9153225806454,12.946572580645162,3020.6048387096776,48.689516129032256,3143.75,0.0,0.8018145161290321
2019-12-03,7.695652173913044,2970.8695652173915,14.53695652173913,3022.304347826087,51.43478260869565,3091.0,0.0,0.8543478260869565
2019-12-05,9.221502590673575,2969.352331606218,17.58678756476684,3027.875647668394,58.523316062176164,3116.75,0.0,0.8562176165803109
